MARKET_PLACE,Product_code,Segment,Customer_Site_ID
NEW YORK,F1,Seg 1-3,954959
NEW YORK,D1,Seg 1-3,955050
GREATER CAPITAL,F1,Seg 1-3,955083
NEW YORK,D4,Seg 4-6,955149
NEW YORK,D3,Seg 1-3,955167
NEW YORK,F1,Seg 1-3,955180
NEW YORK,F1,Seg 1-3,955247
NEW YORK,F1,Seg 1-3,955494
NEW YORK,D3,Seg 1-3,955495
PACIFIC NORTHWEST,F1,Seg 1-3,955573
PACIFIC NORTHWEST,F1,Seg 1-3,955573
PACIFIC NORTHWEST,F1,Seg 1-3,955573
BAY AREA,D2,Seg 1-3,955644
NEW YORK,D3,Seg 1-3,955656
NEW YORK,D3,Seg 1-3,955664
NEW JERSEY,D3,Seg 1-3,955697
NEW YORK,C2,Seg 1-3,955766
GREATER CAPITAL,D2,Seg 1-3,955879
NEW YORK,D2,Seg 1-3,955928
NEW YORK,F1,Seg 1-3,955928
NEW YORK,F1,Seg 1-3,955928
NEW YORK,F1,Seg 1-3,955968
NEW YORK,F1,Seg 1-3,955988
GREATER CAPITAL,D1,Seg 1-3,955988
PACIFIC NORTHWEST,C2,Seg 1-3,956006
MINNESOTA IOWA,F1,Seg 1-3,956007
MINNESOTA IOWA,F1,Seg 1-3,956007
NORTH CENTRAL CALIFORNIA,D1,Seg 1-3,956031
NORTH CENTRAL CALIFORNIA,A1,Seg 1-3,956042
NEW YORK,D1,Seg 1-3,956070
BAY AREA,F1,Seg 1-3,956070
NEW YORK,D3,Seg 1-3,956074
MICHIGAN,A4,Seg 4-6,956515
MICHIGAN,A4,Seg 4-6,956515
MICHIGAN,A4,Seg 4-6,956515
PACIFIC NORTHWEST,A1,Seg 1-3,956572
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,956600
INDIANA KENTUCKY,A4,Seg 4-6,956669
NEW YORK,D1,Seg 1-3,956670
NEW YORK,D1,Seg 1-3,956671
NEW YORK,D1,Seg 1-3,956672
NEW YORK,D1,Seg 1-3,956672
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,956701
NEW YORK,D1,Seg 1-3,957055
PACIFIC NORTHWEST,D5,Seg 4-6,957111
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,957277
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,957955
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,958056
INDIANA KENTUCKY,D3,Seg 1-3,958642
MINNESOTA IOWA,D2,Seg 1-3,958907
GREATER CAPITAL,A4,Seg 4-6,959721
NORTH CENTRAL CALIFORNIA,A1,Seg 1-3,959891
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,959891
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,959891
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,959891
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,959891
NORTH CENTRAL CALIFORNIA,D5,Seg 4-6,959891
SOUTHERN NEW ENGLAND,D4,Seg 4-6,960183
CHICAGO WISCONSIN,F1,Seg 1-3,960352
OHIO VALLEY,F1,Seg 1-3,960850
NEW YORK,D1,Seg 1-3,960898
NEW YORK,D2,Seg 1-3,960898
NEW YORK,F1,Seg 1-3,960898
NEW YORK,F1,Seg 1-3,960898
OHIO VALLEY,D1,Seg 1-3,960956
MICHIGAN,F1,Seg 1-3,961169
MICHIGAN,F1,Seg 1-3,961169
MICHIGAN,D3,Seg 1-3,961231
NEW YORK,D2,Seg 1-3,961508
NEW YORK,D2,Seg 1-3,961508
MINNESOTA IOWA,D1,Seg 1-3,961666
ROCKY MOUNTAIN,D3,Seg 1-3,962026
ROCKY MOUNTAIN,D2,Seg 1-3,962032
ROCKY MOUNTAIN,D3,Seg 1-3,962123
MICHIGAN,C2,Seg 1-3,962189
INDIANA KENTUCKY,D4,Seg 4-6,962281
ROCKY MOUNTAIN,D4,Seg 4-6,962307
GREATER CAPITAL,C2,Seg 1-3,962538
OHIO VALLEY,A2,Seg 1-3,962708
OHIO VALLEY,A4,Seg 4-6,962708
INDIANA KENTUCKY,F1,Seg 1-3,962825
OHIO VALLEY,D4,Seg 4-6,962853
MICHIGAN,D2,Seg 1-3,962890
GREATER CAPITAL,F1,Seg 1-3,962915
GREATER CAPITAL,F1,Seg 1-3,962915
GREATER CAPITAL,A1,Seg 1-3,962987
GREATER CAPITAL,F1,Seg 1-3,962987
OHIO VALLEY,D3,Seg 1-3,962996
PACIFIC NORTHWEST,F1,Seg 1-3,963008
PACIFIC NORTHWEST,D3,Seg 1-3,963016
BAY AREA,A4,Seg 4-6,963263
GREATER CAPITAL,D3,Seg 1-3,963345
GREATER CAPITAL,D3,Seg 1-3,963345
GREATER CAPITAL,F1,Seg 1-3,963597
PACIFIC NORTHWEST,D4,Seg 4-6,963837
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,964061
GREATER CAPITAL,D3,Seg 1-3,964221
GREATER CAPITAL,D4,Seg 4-6,964221
NEW YORK,D3,Seg 1-3,964278
NEW YORK,F1,Seg 1-3,964278
ROCKY MOUNTAIN,F1,Seg 1-3,964286
ROCKY MOUNTAIN,F1,Seg 1-3,964286
ROCKY MOUNTAIN,F1,Seg 1-3,964426
ROCKY MOUNTAIN,D2,Seg 1-3,964502
ROCKY MOUNTAIN,D2,Seg 1-3,964745
PACIFIC NORTHWEST,F1,Seg 1-3,964783
PACIFIC NORTHWEST,D4,Seg 4-6,964826
PACIFIC NORTHWEST,D3,Seg 1-3,964837
PACIFIC NORTHWEST,A1,Seg 1-3,964880
MICHIGAN,D4,Seg 4-6,964896
ROCKY MOUNTAIN,A4,Seg 4-6,964909
NORTH CENTRAL CALIFORNIA,D2,Seg 1-3,965402
GREATER CAPITAL,D4,Seg 4-6,965554
ROCKY MOUNTAIN,D3,Seg 1-3,965958
BAY AREA,A4,Seg 4-6,966014
BAY AREA,A4,Seg 4-6,966014
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D1,Seg 1-3,966059
BAY AREA,D3,Seg 1-3,966059
BAY AREA,D5,Seg 4-6,966059
BAY AREA,F1,Seg 1-3,966059
ROCKY MOUNTAIN,D4,Seg 4-6,966599
NEW YORK,F1,Seg 1-3,966915
ROCKY MOUNTAIN,D1,Seg 1-3,967010
GREATER CAPITAL,F1,Seg 1-3,967605
GREATER CAPITAL,A1,Seg 1-3,967639
GREATER CAPITAL,D2,Seg 1-3,967688
GREATER CAPITAL,A3,Seg 1-3,967725
MINNESOTA IOWA,D3,Seg 1-3,967742
BAY AREA,D3,Seg 1-3,967828
BAY AREA,D2,Seg 1-3,967830
